group,function,value,sample_time_nanos,iteration_count
Lock speeds,HyperLock,,4266900.0,1
Lock speeds,HyperLock,,8506800.0,2
Lock speeds,HyperLock,,12764500.0,3
Lock speeds,HyperLock,,17006100.0,4
Lock speeds,HyperLock,,21301000.0,5
Lock speeds,HyperLock,,25544900.0,6
Lock speeds,HyperLock,,29990100.0,7
Lock speeds,HyperLock,,34129700.0,8
Lock speeds,HyperLock,,38327600.0,9
Lock speeds,HyperLock,,42752200.0,10
Lock speeds,HyperLock,,46926900.0,11
Lock speeds,HyperLock,,51147100.0,12
Lock speeds,HyperLock,,55317100.0,13
Lock speeds,HyperLock,,59786400.0,14
Lock speeds,HyperLock,,63887300.0,15
Lock speeds,HyperLock,,68125300.0,16
Lock speeds,HyperLock,,72555100.0,17
Lock speeds,HyperLock,,76743600.0,18
Lock speeds,HyperLock,,80875600.0,19
Lock speeds,HyperLock,,85188300.0,20
Lock speeds,HyperLock,,89394800.0,21
Lock speeds,HyperLock,,93709100.0,22
Lock speeds,HyperLock,,97829600.0,23
Lock speeds,HyperLock,,102125100.0,24
Lock speeds,HyperLock,,106629600.0,25
Lock speeds,HyperLock,,110773000.0,26
Lock speeds,HyperLock,,115031700.0,27
Lock speeds,HyperLock,,119426300.0,28
Lock speeds,HyperLock,,123645600.0,29
Lock speeds,HyperLock,,127804700.0,30
Lock speeds,HyperLock,,132160200.0,31
Lock speeds,HyperLock,,136395300.0,32
Lock speeds,HyperLock,,140476700.0,33
Lock speeds,HyperLock,,145057700.0,34
Lock speeds,HyperLock,,149435600.0,35
Lock speeds,HyperLock,,153429500.0,36
Lock speeds,HyperLock,,157440300.0,37
Lock speeds,HyperLock,,161960200.0,38
Lock speeds,HyperLock,,166036700.0,39
Lock speeds,HyperLock,,170383000.0,40
Lock speeds,HyperLock,,174760800.0,41
Lock speeds,HyperLock,,179330200.0,42
Lock speeds,HyperLock,,183047400.0,43
Lock speeds,HyperLock,,187463800.0,44
Lock speeds,HyperLock,,191772100.0,45
Lock speeds,HyperLock,,196005100.0,46
Lock speeds,HyperLock,,200392700.0,47
Lock speeds,HyperLock,,204547200.0,48
Lock speeds,HyperLock,,208630600.0,49
Lock speeds,HyperLock,,213443000.0,50
Lock speeds,HyperLock,,217356800.0,51
Lock speeds,HyperLock,,221963600.0,52
Lock speeds,HyperLock,,226101700.0,53
Lock speeds,HyperLock,,230299100.0,54
Lock speeds,HyperLock,,234808000.0,55
Lock speeds,HyperLock,,239052600.0,56
Lock speeds,HyperLock,,242934000.0,57
Lock speeds,HyperLock,,247333800.0,58
Lock speeds,HyperLock,,251596100.0,59
Lock speeds,HyperLock,,256257200.0,60
Lock speeds,HyperLock,,259977800.0,61
Lock speeds,HyperLock,,264456300.0,62
Lock speeds,HyperLock,,268837600.0,63
Lock speeds,HyperLock,,273228200.0,64
Lock speeds,HyperLock,,277203400.0,65
Lock speeds,HyperLock,,281584300.0,66
Lock speeds,HyperLock,,285604500.0,67
Lock speeds,HyperLock,,290413300.0,68
Lock speeds,HyperLock,,294277100.0,69
Lock speeds,HyperLock,,298369300.0,70
Lock speeds,HyperLock,,303246600.0,71
Lock speeds,HyperLock,,306972100.0,72
Lock speeds,HyperLock,,311976300.0,73
Lock speeds,HyperLock,,315328200.0,74
Lock speeds,HyperLock,,319964300.0,75
Lock speeds,HyperLock,,324163100.0,76
Lock speeds,HyperLock,,328332300.0,77
Lock speeds,HyperLock,,332843500.0,78
Lock speeds,HyperLock,,337283500.0,79
Lock speeds,HyperLock,,341042600.0,80
Lock speeds,HyperLock,,345673000.0,81
Lock speeds,HyperLock,,349821700.0,82
Lock speeds,HyperLock,,353864000.0,83
Lock speeds,HyperLock,,358451500.0,84
Lock speeds,HyperLock,,362633100.0,85
Lock speeds,HyperLock,,366351000.0,86
Lock speeds,HyperLock,,371299700.0,87
Lock speeds,HyperLock,,375662300.0,88
Lock speeds,HyperLock,,379588300.0,89
Lock speeds,HyperLock,,383504200.0,90
Lock speeds,HyperLock,,387860100.0,91
Lock speeds,HyperLock,,396981300.0,92
Lock speeds,HyperLock,,400470900.0,93
Lock speeds,HyperLock,,404986400.0,94
Lock speeds,HyperLock,,409460300.0,95
Lock speeds,HyperLock,,413800400.0,96
Lock speeds,HyperLock,,418709000.0,97
Lock speeds,HyperLock,,422412200.0,98
Lock speeds,HyperLock,,426706800.0,99
Lock speeds,HyperLock,,430175100.0,100
