group,function,value,sample_time_nanos,iteration_count
Lock speeds,ParkingLot::Mutex,,3084600.0,1
Lock speeds,ParkingLot::Mutex,,6174200.0,2
Lock speeds,ParkingLot::Mutex,,9250900.0,3
Lock speeds,ParkingLot::Mutex,,12358100.0,4
Lock speeds,ParkingLot::Mutex,,15433500.0,5
Lock speeds,ParkingLot::Mutex,,18512600.0,6
Lock speeds,ParkingLot::Mutex,,21585200.0,7
Lock speeds,ParkingLot::Mutex,,24675600.0,8
Lock speeds,ParkingLot::Mutex,,27763600.0,9
Lock speeds,ParkingLot::Mutex,,30850700.0,10
Lock speeds,ParkingLot::Mutex,,33922100.0,11
Lock speeds,ParkingLot::Mutex,,37016600.0,12
Lock speeds,ParkingLot::Mutex,,40121700.0,13
Lock speeds,ParkingLot::Mutex,,43195400.0,14
Lock speeds,ParkingLot::Mutex,,46319300.0,15
Lock speeds,ParkingLot::Mutex,,49351500.0,16
Lock speeds,ParkingLot::Mutex,,52459200.0,17
Lock speeds,ParkingLot::Mutex,,55512100.0,18
Lock speeds,ParkingLot::Mutex,,58610900.0,19
Lock speeds,ParkingLot::Mutex,,61683500.0,20
Lock speeds,ParkingLot::Mutex,,64763400.0,21
Lock speeds,ParkingLot::Mutex,,67873800.0,22
Lock speeds,ParkingLot::Mutex,,70980900.0,23
Lock speeds,ParkingLot::Mutex,,74042900.0,24
Lock speeds,ParkingLot::Mutex,,77099200.0,25
Lock speeds,ParkingLot::Mutex,,80215000.0,26
Lock speeds,ParkingLot::Mutex,,83284600.0,27
Lock speeds,ParkingLot::Mutex,,86340000.0,28
Lock speeds,ParkingLot::Mutex,,89430700.0,29
Lock speeds,ParkingLot::Mutex,,92580300.0,30
Lock speeds,ParkingLot::Mutex,,95736400.0,31
Lock speeds,ParkingLot::Mutex,,98738400.0,32
Lock speeds,ParkingLot::Mutex,,101755800.0,33
Lock speeds,ParkingLot::Mutex,,104928500.0,34
Lock speeds,ParkingLot::Mutex,,107981400.0,35
Lock speeds,ParkingLot::Mutex,,111047700.0,36
Lock speeds,ParkingLot::Mutex,,114145600.0,37
Lock speeds,ParkingLot::Mutex,,117206500.0,38
Lock speeds,ParkingLot::Mutex,,120263000.0,39
Lock speeds,ParkingLot::Mutex,,123388000.0,40
Lock speeds,ParkingLot::Mutex,,126456500.0,41
Lock speeds,ParkingLot::Mutex,,129539400.0,42
Lock speeds,ParkingLot::Mutex,,132679000.0,43
Lock speeds,ParkingLot::Mutex,,135747700.0,44
Lock speeds,ParkingLot::Mutex,,138800000.0,45
Lock speeds,ParkingLot::Mutex,,141863300.0,46
Lock speeds,ParkingLot::Mutex,,144996700.0,47
Lock speeds,ParkingLot::Mutex,,148053000.0,48
Lock speeds,ParkingLot::Mutex,,151206900.0,49
Lock speeds,ParkingLot::Mutex,,154320000.0,50
Lock speeds,ParkingLot::Mutex,,157357000.0,51
Lock speeds,ParkingLot::Mutex,,160493800.0,52
Lock speeds,ParkingLot::Mutex,,163480800.0,53
Lock speeds,ParkingLot::Mutex,,166568800.0,54
Lock speeds,ParkingLot::Mutex,,169618500.0,55
Lock speeds,ParkingLot::Mutex,,172757600.0,56
Lock speeds,ParkingLot::Mutex,,175841900.0,57
Lock speeds,ParkingLot::Mutex,,178868400.0,58
Lock speeds,ParkingLot::Mutex,,181982100.0,59
Lock speeds,ParkingLot::Mutex,,185037600.0,60
Lock speeds,ParkingLot::Mutex,,188150300.0,61
Lock speeds,ParkingLot::Mutex,,191255300.0,62
Lock speeds,ParkingLot::Mutex,,194329000.0,63
Lock speeds,ParkingLot::Mutex,,197442100.0,64
Lock speeds,ParkingLot::Mutex,,200515700.0,65
Lock speeds,ParkingLot::Mutex,,203577300.0,66
Lock speeds,ParkingLot::Mutex,,206740700.0,67
Lock speeds,ParkingLot::Mutex,,209802700.0,68
Lock speeds,ParkingLot::Mutex,,212923000.0,69
Lock speeds,ParkingLot::Mutex,,215986600.0,70
Lock speeds,ParkingLot::Mutex,,228326600.0,71
Lock speeds,ParkingLot::Mutex,,245344200.0,72
Lock speeds,ParkingLot::Mutex,,229368900.0,73
Lock speeds,ParkingLot::Mutex,,228453000.0,74
Lock speeds,ParkingLot::Mutex,,248264600.0,75
