group,function,value,sample_time_nanos,iteration_count
Lock speeds,ParkingLot::RwLock,,3050100.0,1
Lock speeds,ParkingLot::RwLock,,6070500.0,2
Lock speeds,ParkingLot::RwLock,,9154400.0,3
Lock speeds,ParkingLot::RwLock,,12230500.0,4
Lock speeds,ParkingLot::RwLock,,15347500.0,5
Lock speeds,ParkingLot::RwLock,,18365900.0,6
Lock speeds,ParkingLot::RwLock,,21435800.0,7
Lock speeds,ParkingLot::RwLock,,24454200.0,8
Lock speeds,ParkingLot::RwLock,,27570600.0,9
Lock speeds,ParkingLot::RwLock,,30668700.0,10
Lock speeds,ParkingLot::RwLock,,33621200.0,11
Lock speeds,ParkingLot::RwLock,,36743100.0,12
Lock speeds,ParkingLot::RwLock,,39866500.0,13
Lock speeds,ParkingLot::RwLock,,42883100.0,14
Lock speeds,ParkingLot::RwLock,,45896500.0,15
Lock speeds,ParkingLot::RwLock,,48948800.0,16
Lock speeds,ParkingLot::RwLock,,52074100.0,17
Lock speeds,ParkingLot::RwLock,,55136400.0,18
Lock speeds,ParkingLot::RwLock,,58141000.0,19
Lock speeds,ParkingLot::RwLock,,61127700.0,20
Lock speeds,ParkingLot::RwLock,,64303200.0,21
Lock speeds,ParkingLot::RwLock,,67428500.0,22
Lock speeds,ParkingLot::RwLock,,70404000.0,23
Lock speeds,ParkingLot::RwLock,,73479600.0,24
Lock speeds,ParkingLot::RwLock,,76666200.0,25
Lock speeds,ParkingLot::RwLock,,79521400.0,26
Lock speeds,ParkingLot::RwLock,,82616900.0,27
Lock speeds,ParkingLot::RwLock,,85663300.0,28
Lock speeds,ParkingLot::RwLock,,88781700.0,29
Lock speeds,ParkingLot::RwLock,,91741700.0,30
Lock speeds,ParkingLot::RwLock,,94902500.0,31
Lock speeds,ParkingLot::RwLock,,97968500.0,32
Lock speeds,ParkingLot::RwLock,,101149900.0,33
Lock speeds,ParkingLot::RwLock,,104069600.0,34
Lock speeds,ParkingLot::RwLock,,107197500.0,35
Lock speeds,ParkingLot::RwLock,,110345100.0,36
Lock speeds,ParkingLot::RwLock,,113179500.0,37
Lock speeds,ParkingLot::RwLock,,116428900.0,38
Lock speeds,ParkingLot::RwLock,,119404700.0,39
Lock speeds,ParkingLot::RwLock,,122517600.0,40
Lock speeds,ParkingLot::RwLock,,125530500.0,41
Lock speeds,ParkingLot::RwLock,,128699700.0,42
Lock speeds,ParkingLot::RwLock,,131499200.0,43
Lock speeds,ParkingLot::RwLock,,134675500.0,44
