group,function,value,sample_time_nanos,iteration_count
Lock speeds,std_mutex,,2953600.0,1
Lock speeds,std_mutex,,5900400.0,2
Lock speeds,std_mutex,,8896600.0,3
Lock speeds,std_mutex,,11795800.0,4
Lock speeds,std_mutex,,14780200.0,5
Lock speeds,std_mutex,,17734000.0,6
Lock speeds,std_mutex,,20643500.0,7
Lock speeds,std_mutex,,23617100.0,8
Lock speeds,std_mutex,,26605700.0,9
Lock speeds,std_mutex,,29558500.0,10
Lock speeds,std_mutex,,32338400.0,11
Lock speeds,std_mutex,,35467400.0,12
Lock speeds,std_mutex,,38343300.0,13
Lock speeds,std_mutex,,41322800.0,14
Lock speeds,std_mutex,,44267800.0,15
Lock speeds,std_mutex,,47212900.0,16
Lock speeds,std_mutex,,50237500.0,17
Lock speeds,std_mutex,,53235200.0,18
Lock speeds,std_mutex,,56016100.0,19
Lock speeds,std_mutex,,59184400.0,20
Lock speeds,std_mutex,,61970000.0,21
Lock speeds,std_mutex,,65075400.0,22
Lock speeds,std_mutex,,67883300.0,23
Lock speeds,std_mutex,,70773800.0,24
Lock speeds,std_mutex,,73806800.0,25
Lock speeds,std_mutex,,76573500.0,26
Lock speeds,std_mutex,,79918700.0,27
Lock speeds,std_mutex,,82725600.0,28
Lock speeds,std_mutex,,85692300.0,29
Lock speeds,std_mutex,,88390700.0,30
Lock speeds,std_mutex,,91443500.0,31
Lock speeds,std_mutex,,94318000.0,32
Lock speeds,std_mutex,,97498000.0,33
Lock speeds,std_mutex,,100511000.0,34
Lock speeds,std_mutex,,103317600.0,35
Lock speeds,std_mutex,,106434000.0,36
Lock speeds,std_mutex,,109224100.0,37
Lock speeds,std_mutex,,112400800.0,38
Lock speeds,std_mutex,,115324600.0,39
Lock speeds,std_mutex,,118163700.0,40
Lock speeds,std_mutex,,121185800.0,41
Lock speeds,std_mutex,,124144400.0,42
Lock speeds,std_mutex,,126813400.0,43
Lock speeds,std_mutex,,129987300.0,44
Lock speeds,std_mutex,,132875800.0,45
Lock speeds,std_mutex,,135751300.0,46
Lock speeds,std_mutex,,138853500.0,47
Lock speeds,std_mutex,,141680500.0,48
Lock speeds,std_mutex,,144758200.0,49
Lock speeds,std_mutex,,147438100.0,50
Lock speeds,std_mutex,,150538800.0,51
Lock speeds,std_mutex,,153734700.0,52
Lock speeds,std_mutex,,156587700.0,53
Lock speeds,std_mutex,,160228200.0,54
Lock speeds,std_mutex,,162458400.0,55
Lock speeds,std_mutex,,165308900.0,56
Lock speeds,std_mutex,,168165300.0,57
Lock speeds,std_mutex,,171158000.0,58
Lock speeds,std_mutex,,174407200.0,59
Lock speeds,std_mutex,,177052500.0,60
Lock speeds,std_mutex,,180163500.0,61
Lock speeds,std_mutex,,183114500.0,62
Lock speeds,std_mutex,,185784300.0,63
Lock speeds,std_mutex,,188706000.0,64
Lock speeds,std_mutex,,191912500.0,65
Lock speeds,std_mutex,,194859300.0,66
Lock speeds,std_mutex,,197821000.0,67
Lock speeds,std_mutex,,200844800.0,68
Lock speeds,std_mutex,,203720800.0,69
Lock speeds,std_mutex,,206853800.0,70
Lock speeds,std_mutex,,209503100.0,71
Lock speeds,std_mutex,,212942400.0,72
Lock speeds,std_mutex,,215483700.0,73
Lock speeds,std_mutex,,218334500.0,74
Lock speeds,std_mutex,,221295000.0,75
Lock speeds,std_mutex,,224649500.0,76
Lock speeds,std_mutex,,227313900.0,77
Lock speeds,std_mutex,,230254100.0,78
Lock speeds,std_mutex,,233289500.0,79
Lock speeds,std_mutex,,236297500.0,80
Lock speeds,std_mutex,,238979900.0,81
Lock speeds,std_mutex,,241772600.0,82
Lock speeds,std_mutex,,244823000.0,83
Lock speeds,std_mutex,,248046000.0,84
Lock speeds,std_mutex,,251121000.0,85
Lock speeds,std_mutex,,254103900.0,86
Lock speeds,std_mutex,,256879900.0,87
Lock speeds,std_mutex,,259999400.0,88
Lock speeds,std_mutex,,262979500.0,89
Lock speeds,std_mutex,,265395100.0,90
Lock speeds,std_mutex,,268804400.0,91
Lock speeds,std_mutex,,271617300.0,92
Lock speeds,std_mutex,,274396700.0,93
Lock speeds,std_mutex,,277386800.0,94
Lock speeds,std_mutex,,280360200.0,95
Lock speeds,std_mutex,,283689900.0,96
Lock speeds,std_mutex,,286400400.0,97
Lock speeds,std_mutex,,289581300.0,98
Lock speeds,std_mutex,,292392400.0,99
Lock speeds,std_mutex,,295277000.0,100
