group,function,value,sample_time_nanos,iteration_count
Vec benches,BytesMut,,989300.0,33783
Vec benches,BytesMut,,1983800.0,67566
Vec benches,BytesMut,,2970100.0,101349
Vec benches,BytesMut,,3953100.0,135132
Vec benches,BytesMut,,4953200.0,168915
Vec benches,BytesMut,,5942800.0,202698
Vec benches,BytesMut,,6930600.0,236481
Vec benches,BytesMut,,7929700.0,270264
Vec benches,BytesMut,,8907000.0,304047
Vec benches,BytesMut,,9902000.0,337830
Vec benches,BytesMut,,10892500.0,371613
Vec benches,BytesMut,,11859000.0,405396
Vec benches,BytesMut,,12873200.0,439179
Vec benches,BytesMut,,13876800.0,472962
Vec benches,BytesMut,,14827300.0,506745
Vec benches,BytesMut,,15842300.0,540528
Vec benches,BytesMut,,16834800.0,574311
Vec benches,BytesMut,,17808700.0,608094
Vec benches,BytesMut,,18816800.0,641877
Vec benches,BytesMut,,19799000.0,675660
Vec benches,BytesMut,,20777200.0,709443
Vec benches,BytesMut,,21777700.0,743226
Vec benches,BytesMut,,22764700.0,777009
Vec benches,BytesMut,,23743900.0,810792
Vec benches,BytesMut,,24766400.0,844575
Vec benches,BytesMut,,25719200.0,878358
Vec benches,BytesMut,,26719400.0,912141
Vec benches,BytesMut,,27721900.0,945924
Vec benches,BytesMut,,28702400.0,979707
Vec benches,BytesMut,,29691800.0,1013490
Vec benches,BytesMut,,30696300.0,1047273
Vec benches,BytesMut,,31684900.0,1081056
Vec benches,BytesMut,,32688500.0,1114839
Vec benches,BytesMut,,33708400.0,1148622
Vec benches,BytesMut,,34663700.0,1182405
Vec benches,BytesMut,,35622600.0,1216188
Vec benches,BytesMut,,36648400.0,1249971
Vec benches,BytesMut,,37705000.0,1283754
Vec benches,BytesMut,,38604500.0,1317537
Vec benches,BytesMut,,39570900.0,1351320
Vec benches,BytesMut,,40591300.0,1385103
Vec benches,BytesMut,,41536400.0,1418886
Vec benches,BytesMut,,42564400.0,1452669
Vec benches,BytesMut,,43539200.0,1486452
Vec benches,BytesMut,,44528700.0,1520235
Vec benches,BytesMut,,45547600.0,1554018
Vec benches,BytesMut,,46520100.0,1587801
Vec benches,BytesMut,,47488000.0,1621584
Vec benches,BytesMut,,48485400.0,1655367
Vec benches,BytesMut,,49512300.0,1689150
Vec benches,BytesMut,,50453100.0,1722933
Vec benches,BytesMut,,51488300.0,1756716
Vec benches,BytesMut,,52470000.0,1790499
Vec benches,BytesMut,,53422600.0,1824282
Vec benches,BytesMut,,54447400.0,1858065
Vec benches,BytesMut,,55451800.0,1891848
Vec benches,BytesMut,,56450700.0,1925631
Vec benches,BytesMut,,57368000.0,1959414
Vec benches,BytesMut,,58379900.0,1993197
Vec benches,BytesMut,,59403200.0,2026980
Vec benches,BytesMut,,60387100.0,2060763
Vec benches,BytesMut,,61336600.0,2094546
Vec benches,BytesMut,,62357400.0,2128329
Vec benches,BytesMut,,63336600.0,2162112
Vec benches,BytesMut,,64339000.0,2195895
Vec benches,BytesMut,,65342900.0,2229678
Vec benches,BytesMut,,66387000.0,2263461
Vec benches,BytesMut,,67300200.0,2297244
Vec benches,BytesMut,,68298800.0,2331027
Vec benches,BytesMut,,69296900.0,2364810
Vec benches,BytesMut,,70268700.0,2398593
Vec benches,BytesMut,,71240700.0,2432376
Vec benches,BytesMut,,72295300.0,2466159
Vec benches,BytesMut,,73322600.0,2499942
Vec benches,BytesMut,,74221600.0,2533725
Vec benches,BytesMut,,75224000.0,2567508
Vec benches,BytesMut,,76210500.0,2601291
Vec benches,BytesMut,,77174800.0,2635074
Vec benches,BytesMut,,78274100.0,2668857
Vec benches,BytesMut,,79173900.0,2702640
Vec benches,BytesMut,,80198100.0,2736423
Vec benches,BytesMut,,84788000.0,2770206
Vec benches,BytesMut,,82080700.0,2803989
Vec benches,BytesMut,,83160200.0,2837772
Vec benches,BytesMut,,84232500.0,2871555
Vec benches,BytesMut,,85192200.0,2905338
Vec benches,BytesMut,,86140100.0,2939121
Vec benches,BytesMut,,87019700.0,2972904
Vec benches,BytesMut,,88037200.0,3006687
Vec benches,BytesMut,,89072900.0,3040470
Vec benches,BytesMut,,90056000.0,3074253
Vec benches,BytesMut,,91056600.0,3108036
Vec benches,BytesMut,,92010300.0,3141819
Vec benches,BytesMut,,93008600.0,3175602
Vec benches,BytesMut,,93935500.0,3209385
Vec benches,BytesMut,,95049300.0,3243168
Vec benches,BytesMut,,96061500.0,3276951
Vec benches,BytesMut,,96938900.0,3310734
Vec benches,BytesMut,,97933100.0,3344517
Vec benches,BytesMut,,98905900.0,3378300
