group,function,value,sample_time_nanos,iteration_count
Vec benches,BytesMut,,987500.0,40689
Vec benches,BytesMut,,1963600.0,81378
Vec benches,BytesMut,,2968400.0,122067
Vec benches,BytesMut,,3968100.0,162756
Vec benches,BytesMut,,4957100.0,203445
Vec benches,BytesMut,,5945200.0,244134
Vec benches,BytesMut,,6911800.0,284823
Vec benches,BytesMut,,7897400.0,325512
Vec benches,BytesMut,,8857200.0,366201
Vec benches,BytesMut,,9874900.0,406890
Vec benches,BytesMut,,10837400.0,447579
Vec benches,BytesMut,,11857900.0,488268
Vec benches,BytesMut,,12823300.0,528957
Vec benches,BytesMut,,13825400.0,569646
Vec benches,BytesMut,,14743400.0,610335
Vec benches,BytesMut,,15732500.0,651024
Vec benches,BytesMut,,16813400.0,691713
Vec benches,BytesMut,,17785600.0,732402
Vec benches,BytesMut,,18829900.0,773091
Vec benches,BytesMut,,19768000.0,813780
Vec benches,BytesMut,,20727000.0,854469
Vec benches,BytesMut,,21622800.0,895158
Vec benches,BytesMut,,22710100.0,935847
Vec benches,BytesMut,,23710300.0,976536
Vec benches,BytesMut,,24617800.0,1017225
Vec benches,BytesMut,,25642400.0,1057914
Vec benches,BytesMut,,26652400.0,1098603
Vec benches,BytesMut,,27640600.0,1139292
Vec benches,BytesMut,,28607000.0,1179981
Vec benches,BytesMut,,29585300.0,1220670
Vec benches,BytesMut,,30573900.0,1261359
Vec benches,BytesMut,,31562400.0,1302048
Vec benches,BytesMut,,32570500.0,1342737
Vec benches,BytesMut,,33521700.0,1383426
Vec benches,BytesMut,,34477100.0,1424115
Vec benches,BytesMut,,35497000.0,1464804
Vec benches,BytesMut,,36494000.0,1505493
Vec benches,BytesMut,,37481100.0,1546182
Vec benches,BytesMut,,38417400.0,1586871
Vec benches,BytesMut,,39552600.0,1627560
Vec benches,BytesMut,,40477800.0,1668249
Vec benches,BytesMut,,41346300.0,1708938
Vec benches,BytesMut,,42473500.0,1749627
Vec benches,BytesMut,,43462100.0,1790316
Vec benches,BytesMut,,44359700.0,1831005
Vec benches,BytesMut,,45370500.0,1871694
Vec benches,BytesMut,,46435300.0,1912383
Vec benches,BytesMut,,47436300.0,1953072
Vec benches,BytesMut,,48318100.0,1993761
Vec benches,BytesMut,,49407700.0,2034450
Vec benches,BytesMut,,50341300.0,2075139
Vec benches,BytesMut,,51204300.0,2115828
Vec benches,BytesMut,,52258500.0,2156517
Vec benches,BytesMut,,53239300.0,2197206
Vec benches,BytesMut,,54251100.0,2237895
Vec benches,BytesMut,,55142200.0,2278584
Vec benches,BytesMut,,56297300.0,2319273
Vec benches,BytesMut,,57173900.0,2359962
Vec benches,BytesMut,,58245500.0,2400651
Vec benches,BytesMut,,59223900.0,2441340
Vec benches,BytesMut,,60119600.0,2482029
Vec benches,BytesMut,,61139500.0,2522718
Vec benches,BytesMut,,62036900.0,2563407
Vec benches,BytesMut,,63126500.0,2604096
Vec benches,BytesMut,,64139100.0,2644785
Vec benches,BytesMut,,65124700.0,2685474
Vec benches,BytesMut,,66190100.0,2726163
Vec benches,BytesMut,,67022400.0,2766852
Vec benches,BytesMut,,68066600.0,2807541
Vec benches,BytesMut,,69014600.0,2848230
Vec benches,BytesMut,,70053700.0,2888919
Vec benches,BytesMut,,70987200.0,2929608
Vec benches,BytesMut,,71932100.0,2970297
Vec benches,BytesMut,,72935600.0,3010986
Vec benches,BytesMut,,74046100.0,3051675
Vec benches,BytesMut,,74921700.0,3092364
Vec benches,BytesMut,,75972200.0,3133053
Vec benches,BytesMut,,76925700.0,3173742
Vec benches,BytesMut,,77968700.0,3214431
Vec benches,BytesMut,,78914200.0,3255120
Vec benches,BytesMut,,79964600.0,3295809
Vec benches,BytesMut,,80887200.0,3336498
Vec benches,BytesMut,,81760000.0,3377187
Vec benches,BytesMut,,82847600.0,3417876
Vec benches,BytesMut,,83788400.0,3458565
Vec benches,BytesMut,,84912800.0,3499254
Vec benches,BytesMut,,85729400.0,3539943
Vec benches,BytesMut,,86769000.0,3580632
Vec benches,BytesMut,,87826000.0,3621321
Vec benches,BytesMut,,88851200.0,3662010
Vec benches,BytesMut,,89749700.0,3702699
Vec benches,BytesMut,,90728300.0,3743388
Vec benches,BytesMut,,91728000.0,3784077
Vec benches,BytesMut,,92673100.0,3824766
Vec benches,BytesMut,,93720000.0,3865455
Vec benches,BytesMut,,94697100.0,3906144
Vec benches,BytesMut,,95640300.0,3946833
Vec benches,BytesMut,,96588900.0,3987522
Vec benches,BytesMut,,97650700.0,4028211
Vec benches,BytesMut,,98704800.0,4068900
