group,function,value,sample_time_nanos,iteration_count
Vec benches,std vec,121,991000.0,21072
Vec benches,std vec,121,1973700.0,42144
Vec benches,std vec,121,2960200.0,63216
Vec benches,std vec,121,3948400.0,84288
Vec benches,std vec,121,4933600.0,105360
Vec benches,std vec,121,5919800.0,126432
Vec benches,std vec,121,6917300.0,147504
Vec benches,std vec,121,7894500.0,168576
Vec benches,std vec,121,8885700.0,189648
Vec benches,std vec,121,9871300.0,210720
Vec benches,std vec,121,10855400.0,231792
Vec benches,std vec,121,11841500.0,252864
Vec benches,std vec,121,12828900.0,273936
Vec benches,std vec,121,13814300.0,295008
Vec benches,std vec,121,15316300.0,316080
Vec benches,std vec,121,15802600.0,337152
Vec benches,std vec,121,16778200.0,358224
Vec benches,std vec,121,17763000.0,379296
Vec benches,std vec,121,18754200.0,400368
Vec benches,std vec,121,19737900.0,421440
Vec benches,std vec,121,20725600.0,442512
Vec benches,std vec,121,21715900.0,463584
Vec benches,std vec,121,22696200.0,484656
Vec benches,std vec,121,23683300.0,505728
Vec benches,std vec,121,24670300.0,526800
Vec benches,std vec,121,25658500.0,547872
Vec benches,std vec,121,26646900.0,568944
Vec benches,std vec,121,27636800.0,590016
Vec benches,std vec,121,28625700.0,611088
Vec benches,std vec,121,29612100.0,632160
Vec benches,std vec,121,30590400.0,653232
Vec benches,std vec,121,31579700.0,674304
Vec benches,std vec,121,32573900.0,695376
Vec benches,std vec,121,33615900.0,716448
Vec benches,std vec,121,34548200.0,737520
Vec benches,std vec,121,35531600.0,758592
Vec benches,std vec,121,36511600.0,779664
Vec benches,std vec,121,37505300.0,800736
Vec benches,std vec,121,38488600.0,821808
Vec benches,std vec,121,39474700.0,842880
Vec benches,std vec,121,45656100.0,863952
Vec benches,std vec,121,49364100.0,885024
Vec benches,std vec,121,56922800.0,906096
Vec benches,std vec,121,53947500.0,927168
Vec benches,std vec,121,50692100.0,948240
Vec benches,std vec,121,45397100.0,969312
Vec benches,std vec,121,46406500.0,990384
Vec benches,std vec,121,47366100.0,1011456
Vec benches,std vec,121,48358900.0,1032528
Vec benches,std vec,121,49353700.0,1053600
Vec benches,std vec,121,50327800.0,1074672
Vec benches,std vec,121,51324700.0,1095744
Vec benches,std vec,121,52306500.0,1116816
Vec benches,std vec,121,53298400.0,1137888
Vec benches,std vec,121,54281200.0,1158960
Vec benches,std vec,121,66483400.0,1180032
Vec benches,std vec,121,56273600.0,1201104
Vec benches,std vec,121,57527300.0,1222176
Vec benches,std vec,121,58221500.0,1243248
Vec benches,std vec,121,59213300.0,1264320
Vec benches,std vec,121,60224000.0,1285392
Vec benches,std vec,121,61190800.0,1306464
Vec benches,std vec,121,62240500.0,1327536
Vec benches,std vec,121,63176000.0,1348608
Vec benches,std vec,121,64150800.0,1369680
Vec benches,std vec,121,65139300.0,1390752
Vec benches,std vec,121,66114200.0,1411824
Vec benches,std vec,121,67111200.0,1432896
Vec benches,std vec,121,68145800.0,1453968
Vec benches,std vec,121,69076000.0,1475040
Vec benches,std vec,121,70074500.0,1496112
Vec benches,std vec,121,71659700.0,1517184
Vec benches,std vec,121,72038300.0,1538256
Vec benches,std vec,121,73039100.0,1559328
Vec benches,std vec,121,74014900.0,1580400
Vec benches,std vec,121,75017900.0,1601472
Vec benches,std vec,121,75999900.0,1622544
Vec benches,std vec,121,77302800.0,1643616
Vec benches,std vec,121,77981100.0,1664688
Vec benches,std vec,121,78955700.0,1685760
Vec benches,std vec,121,79942000.0,1706832
Vec benches,std vec,121,80947800.0,1727904
Vec benches,std vec,121,81923000.0,1748976
Vec benches,std vec,121,82910000.0,1770048
Vec benches,std vec,121,84635500.0,1791120
Vec benches,std vec,121,84881000.0,1812192
Vec benches,std vec,121,85992000.0,1833264
Vec benches,std vec,121,86874900.0,1854336
Vec benches,std vec,121,87830500.0,1875408
Vec benches,std vec,121,88944900.0,1896480
Vec benches,std vec,121,89850000.0,1917552
Vec benches,std vec,121,90791100.0,1938624
Vec benches,std vec,121,91790000.0,1959696
Vec benches,std vec,121,92767600.0,1980768
Vec benches,std vec,121,93765300.0,2001840
Vec benches,std vec,121,94974800.0,2022912
Vec benches,std vec,121,95725100.0,2043984
Vec benches,std vec,121,96712100.0,2065056
Vec benches,std vec,121,97731200.0,2086128
Vec benches,std vec,121,98707100.0,2107200
