group,function,value,sample_time_nanos,iteration_count
Vec benches,std vec,122,990800.0,21136
Vec benches,std vec,122,1979700.0,42272
Vec benches,std vec,122,2970700.0,63408
Vec benches,std vec,122,3963400.0,84544
Vec benches,std vec,122,4955700.0,105680
Vec benches,std vec,122,5938100.0,126816
Vec benches,std vec,122,6929500.0,147952
Vec benches,std vec,122,7931100.0,169088
Vec benches,std vec,122,8910700.0,190224
Vec benches,std vec,122,9899900.0,211360
Vec benches,std vec,122,10887500.0,232496
Vec benches,std vec,122,11879600.0,253632
Vec benches,std vec,122,12877900.0,274768
Vec benches,std vec,122,13861200.0,295904
Vec benches,std vec,122,14846100.0,317040
Vec benches,std vec,122,15843500.0,338176
Vec benches,std vec,122,20734700.0,359312
Vec benches,std vec,122,28778400.0,380448
Vec benches,std vec,122,19009000.0,401584
Vec benches,std vec,122,19837900.0,422720
Vec benches,std vec,122,21732400.0,443856
Vec benches,std vec,122,21783200.0,464992
Vec benches,std vec,122,22774500.0,486128
Vec benches,std vec,122,23755600.0,507264
Vec benches,std vec,122,24753700.0,528400
Vec benches,std vec,122,25741200.0,549536
Vec benches,std vec,122,26726100.0,570672
Vec benches,std vec,122,27725800.0,591808
Vec benches,std vec,122,28706800.0,612944
Vec benches,std vec,122,29701100.0,634080
Vec benches,std vec,122,30687600.0,655216
Vec benches,std vec,122,31678400.0,676352
Vec benches,std vec,122,32675900.0,697488
Vec benches,std vec,122,33682800.0,718624
Vec benches,std vec,122,34660300.0,739760
Vec benches,std vec,122,35649400.0,760896
Vec benches,std vec,122,36621800.0,782032
Vec benches,std vec,122,37622900.0,803168
Vec benches,std vec,122,38606100.0,824304
Vec benches,std vec,122,39595600.0,845440
Vec benches,std vec,122,55743200.0,866576
Vec benches,std vec,122,44876700.0,887712
Vec benches,std vec,122,42568900.0,908848
Vec benches,std vec,122,43558100.0,929984
Vec benches,std vec,122,44551100.0,951120
Vec benches,std vec,122,45538700.0,972256
Vec benches,std vec,122,46560400.0,993392
Vec benches,std vec,122,47514400.0,1014528
Vec benches,std vec,122,48502600.0,1035664
Vec benches,std vec,122,49563400.0,1056800
Vec benches,std vec,122,50483400.0,1077936
Vec benches,std vec,122,51472900.0,1099072
Vec benches,std vec,122,52466500.0,1120208
Vec benches,std vec,122,53449500.0,1141344
Vec benches,std vec,122,67743500.0,1162480
Vec benches,std vec,122,61490800.0,1183616
Vec benches,std vec,122,56422400.0,1204752
Vec benches,std vec,122,57420600.0,1225888
Vec benches,std vec,122,58407800.0,1247024
Vec benches,std vec,122,59396200.0,1268160
Vec benches,std vec,122,60410700.0,1289296
Vec benches,std vec,122,61369500.0,1310432
Vec benches,std vec,122,62373400.0,1331568
Vec benches,std vec,122,63365300.0,1352704
Vec benches,std vec,122,64346500.0,1373840
Vec benches,std vec,122,65344100.0,1394976
Vec benches,std vec,122,66388600.0,1416112
Vec benches,std vec,122,67794900.0,1437248
Vec benches,std vec,122,68336200.0,1458384
Vec benches,std vec,122,69294700.0,1479520
Vec benches,std vec,122,70400100.0,1500656
Vec benches,std vec,122,71292100.0,1521792
Vec benches,std vec,122,72288300.0,1542928
Vec benches,std vec,122,73247900.0,1564064
Vec benches,std vec,122,74241200.0,1585200
Vec benches,std vec,122,75499700.0,1606336
Vec benches,std vec,122,76217700.0,1627472
Vec benches,std vec,122,77218400.0,1648608
Vec benches,std vec,122,78217100.0,1669744
Vec benches,std vec,122,79184700.0,1690880
Vec benches,std vec,122,80251100.0,1712016
Vec benches,std vec,122,81180500.0,1733152
Vec benches,std vec,122,82156400.0,1754288
Vec benches,std vec,122,83201900.0,1775424
Vec benches,std vec,122,84161000.0,1796560
Vec benches,std vec,122,85124200.0,1817696
Vec benches,std vec,122,86120200.0,1838832
Vec benches,std vec,122,87142500.0,1859968
Vec benches,std vec,122,88109700.0,1881104
Vec benches,std vec,122,89090200.0,1902240
Vec benches,std vec,122,90118900.0,1923376
Vec benches,std vec,122,91099500.0,1944512
Vec benches,std vec,122,92128300.0,1965648
Vec benches,std vec,122,93043800.0,1986784
Vec benches,std vec,122,94034200.0,2007920
Vec benches,std vec,122,95229000.0,2029056
Vec benches,std vec,122,96015400.0,2050192
Vec benches,std vec,122,97001600.0,2071328
Vec benches,std vec,122,98044500.0,2092464
Vec benches,std vec,122,98986500.0,2113600
