group,function,value,sample_time_nanos,iteration_count
Vec benches,std vec,,992500.0,51301
Vec benches,std vec,,1988700.0,102602
Vec benches,std vec,,2991200.0,153903
Vec benches,std vec,,3966300.0,205204
Vec benches,std vec,,4943200.0,256505
Vec benches,std vec,,5949000.0,307806
Vec benches,std vec,,6937500.0,359107
Vec benches,std vec,,7929800.0,410408
Vec benches,std vec,,8905600.0,461709
Vec benches,std vec,,9896900.0,513010
Vec benches,std vec,,10889400.0,564311
Vec benches,std vec,,11879800.0,615612
Vec benches,std vec,,12864000.0,666913
Vec benches,std vec,,13852200.0,718214
Vec benches,std vec,,14840800.0,769515
Vec benches,std vec,,15834500.0,820816
Vec benches,std vec,,16841200.0,872117
Vec benches,std vec,,17788900.0,923418
Vec benches,std vec,,18770700.0,974719
Vec benches,std vec,,19798000.0,1026020
Vec benches,std vec,,20798300.0,1077321
Vec benches,std vec,,21769600.0,1128622
Vec benches,std vec,,22756500.0,1179923
Vec benches,std vec,,23764200.0,1231224
Vec benches,std vec,,24726900.0,1282525
Vec benches,std vec,,25734700.0,1333826
Vec benches,std vec,,26748300.0,1385127
Vec benches,std vec,,27737000.0,1436428
Vec benches,std vec,,28706900.0,1487729
Vec benches,std vec,,29685500.0,1539030
Vec benches,std vec,,30718100.0,1590331
Vec benches,std vec,,31671200.0,1641632
Vec benches,std vec,,32690900.0,1692933
Vec benches,std vec,,33628700.0,1744234
Vec benches,std vec,,34679800.0,1795535
Vec benches,std vec,,35630600.0,1846836
Vec benches,std vec,,36632300.0,1898137
Vec benches,std vec,,37628600.0,1949438
Vec benches,std vec,,38585100.0,2000739
Vec benches,std vec,,39634600.0,2052040
Vec benches,std vec,,40600100.0,2103341
Vec benches,std vec,,41588000.0,2154642
Vec benches,std vec,,42572300.0,2205943
Vec benches,std vec,,43559000.0,2257244
Vec benches,std vec,,44544100.0,2308545
Vec benches,std vec,,45593400.0,2359846
Vec benches,std vec,,46499100.0,2411147
Vec benches,std vec,,47528500.0,2462448
Vec benches,std vec,,48515600.0,2513749
Vec benches,std vec,,49504900.0,2565050
Vec benches,std vec,,50487200.0,2616351
Vec benches,std vec,,51451300.0,2667652
Vec benches,std vec,,52436400.0,2718953
Vec benches,std vec,,53460100.0,2770254
Vec benches,std vec,,54435500.0,2821555
Vec benches,std vec,,55421900.0,2872856
Vec benches,std vec,,56418900.0,2924157
Vec benches,std vec,,57433400.0,2975458
Vec benches,std vec,,58404400.0,3026759
Vec benches,std vec,,59435100.0,3078060
Vec benches,std vec,,60459800.0,3129361
Vec benches,std vec,,61374200.0,3180662
Vec benches,std vec,,62385300.0,3231963
Vec benches,std vec,,63378000.0,3283264
Vec benches,std vec,,64347000.0,3334565
Vec benches,std vec,,65354600.0,3385866
Vec benches,std vec,,66330100.0,3437167
Vec benches,std vec,,67337000.0,3488468
Vec benches,std vec,,68327400.0,3539769
Vec benches,std vec,,69353100.0,3591070
Vec benches,std vec,,70268400.0,3642371
Vec benches,std vec,,71281800.0,3693672
Vec benches,std vec,,72278100.0,3744973
Vec benches,std vec,,73248000.0,3796274
Vec benches,std vec,,74311800.0,3847575
Vec benches,std vec,,75181800.0,3898876
Vec benches,std vec,,76244600.0,3950177
Vec benches,std vec,,77243900.0,4001478
Vec benches,std vec,,78252200.0,4052779
Vec benches,std vec,,79223100.0,4104080
Vec benches,std vec,,80215200.0,4155381
Vec benches,std vec,,81180800.0,4206682
Vec benches,std vec,,82196500.0,4257983
Vec benches,std vec,,83222900.0,4309284
Vec benches,std vec,,84208700.0,4360585
Vec benches,std vec,,85186300.0,4411886
Vec benches,std vec,,86167200.0,4463187
Vec benches,std vec,,87125200.0,4514488
Vec benches,std vec,,88149100.0,4565789
Vec benches,std vec,,89106100.0,4617090
Vec benches,std vec,,90145800.0,4668391
Vec benches,std vec,,91086800.0,4719692
Vec benches,std vec,,92081900.0,4770993
Vec benches,std vec,,93049200.0,4822294
Vec benches,std vec,,94082900.0,4873595
Vec benches,std vec,,95070300.0,4924896
Vec benches,std vec,,96039500.0,4976197
Vec benches,std vec,,97025300.0,5027498
Vec benches,std vec,,98025300.0,5078799
Vec benches,std vec,,99000300.0,5130100
