group,function,value,sample_time_nanos,iteration_count
Lock speeds,HyperLock,,2866100.0,1
Lock speeds,HyperLock,,5751300.0,2
Lock speeds,HyperLock,,8650400.0,3
Lock speeds,HyperLock,,11585600.0,4
Lock speeds,HyperLock,,14410200.0,5
Lock speeds,HyperLock,,17330200.0,6
Lock speeds,HyperLock,,20153300.0,7
Lock speeds,HyperLock,,23042200.0,8
Lock speeds,HyperLock,,25930200.0,9
Lock speeds,HyperLock,,28869400.0,10
Lock speeds,HyperLock,,31687400.0,11
Lock speeds,HyperLock,,34624600.0,12
Lock speeds,HyperLock,,37541500.0,13
Lock speeds,HyperLock,,40420600.0,14
Lock speeds,HyperLock,,43349400.0,15
Lock speeds,HyperLock,,46156700.0,16
Lock speeds,HyperLock,,48956300.0,17
Lock speeds,HyperLock,,51854800.0,18
Lock speeds,HyperLock,,54853500.0,19
Lock speeds,HyperLock,,57645700.0,20
Lock speeds,HyperLock,,60565600.0,21
Lock speeds,HyperLock,,63367200.0,22
Lock speeds,HyperLock,,66324700.0,23
Lock speeds,HyperLock,,69198100.0,24
Lock speeds,HyperLock,,72211900.0,25
Lock speeds,HyperLock,,74956500.0,26
Lock speeds,HyperLock,,77892900.0,27
Lock speeds,HyperLock,,81023000.0,28
Lock speeds,HyperLock,,84407100.0,29
Lock speeds,HyperLock,,88938500.0,30
Lock speeds,HyperLock,,89996800.0,31
Lock speeds,HyperLock,,94885200.0,32
Lock speeds,HyperLock,,97224100.0,33
Lock speeds,HyperLock,,98116200.0,34
Lock speeds,HyperLock,,101074200.0,35
Lock speeds,HyperLock,,103779300.0,36
Lock speeds,HyperLock,,106655400.0,37
Lock speeds,HyperLock,,109891200.0,38
Lock speeds,HyperLock,,115502800.0,39
Lock speeds,HyperLock,,115412700.0,40
Lock speeds,HyperLock,,118284300.0,41
Lock speeds,HyperLock,,121211900.0,42
Lock speeds,HyperLock,,124039700.0,43
Lock speeds,HyperLock,,128850100.0,44
Lock speeds,HyperLock,,129911300.0,45
Lock speeds,HyperLock,,132895000.0,46
Lock speeds,HyperLock,,135750400.0,47
Lock speeds,HyperLock,,138839400.0,48
Lock speeds,HyperLock,,141367800.0,49
Lock speeds,HyperLock,,144189700.0,50
Lock speeds,HyperLock,,146951000.0,51
Lock speeds,HyperLock,,149975700.0,52
Lock speeds,HyperLock,,153049200.0,53
Lock speeds,HyperLock,,156136300.0,54
Lock speeds,HyperLock,,158970100.0,55
Lock speeds,HyperLock,,163292700.0,56
Lock speeds,HyperLock,,164741400.0,57
Lock speeds,HyperLock,,167816700.0,58
Lock speeds,HyperLock,,170611600.0,59
Lock speeds,HyperLock,,173632000.0,60
Lock speeds,HyperLock,,176236500.0,61
Lock speeds,HyperLock,,179025700.0,62
Lock speeds,HyperLock,,182336000.0,63
Lock speeds,HyperLock,,184779200.0,64
Lock speeds,HyperLock,,187909400.0,65
Lock speeds,HyperLock,,190880200.0,66
Lock speeds,HyperLock,,193447100.0,67
Lock speeds,HyperLock,,196365100.0,68
Lock speeds,HyperLock,,199237600.0,69
Lock speeds,HyperLock,,202691600.0,70
Lock speeds,HyperLock,,205152100.0,71
Lock speeds,HyperLock,,208024700.0,72
Lock speeds,HyperLock,,210999800.0,73
Lock speeds,HyperLock,,214089400.0,74
Lock speeds,HyperLock,,216631400.0,75
Lock speeds,HyperLock,,220061900.0,76
Lock speeds,HyperLock,,222673400.0,77
Lock speeds,HyperLock,,225811000.0,78
Lock speeds,HyperLock,,230544200.0,79
Lock speeds,HyperLock,,232001600.0,80
Lock speeds,HyperLock,,233802300.0,81
Lock speeds,HyperLock,,236718100.0,82
Lock speeds,HyperLock,,239496000.0,83
Lock speeds,HyperLock,,242419000.0,84
Lock speeds,HyperLock,,245345900.0,85
Lock speeds,HyperLock,,248250900.0,86
Lock speeds,HyperLock,,251208100.0,87
Lock speeds,HyperLock,,254117700.0,88
Lock speeds,HyperLock,,256968500.0,89
Lock speeds,HyperLock,,259665100.0,90
Lock speeds,HyperLock,,262562000.0,91
Lock speeds,HyperLock,,265455900.0,92
Lock speeds,HyperLock,,268345500.0,93
Lock speeds,HyperLock,,271169100.0,94
Lock speeds,HyperLock,,274082600.0,95
Lock speeds,HyperLock,,276972500.0,96
Lock speeds,HyperLock,,279876600.0,97
Lock speeds,HyperLock,,294592300.0,98
Lock speeds,HyperLock,,285824000.0,99
Lock speeds,HyperLock,,288775100.0,100
