group,function,value,sample_time_nanos,iteration_count
Vec benches,BytesMut,,987200.0,33205
Vec benches,BytesMut,,1975500.0,66410
Vec benches,BytesMut,,2961200.0,99615
Vec benches,BytesMut,,3949300.0,132820
Vec benches,BytesMut,,4946200.0,166025
Vec benches,BytesMut,,5919500.0,199230
Vec benches,BytesMut,,6916900.0,232435
Vec benches,BytesMut,,7906000.0,265640
Vec benches,BytesMut,,8899900.0,298845
Vec benches,BytesMut,,9870500.0,332050
Vec benches,BytesMut,,10857000.0,365255
Vec benches,BytesMut,,11842300.0,398460
Vec benches,BytesMut,,12838900.0,431665
Vec benches,BytesMut,,13839100.0,464870
Vec benches,BytesMut,,14806500.0,498075
Vec benches,BytesMut,,15803800.0,531280
Vec benches,BytesMut,,16798200.0,564485
Vec benches,BytesMut,,17764900.0,597690
Vec benches,BytesMut,,18751100.0,630895
Vec benches,BytesMut,,19743700.0,664100
Vec benches,BytesMut,,20747500.0,697305
Vec benches,BytesMut,,21719800.0,730510
Vec benches,BytesMut,,22705100.0,763715
Vec benches,BytesMut,,23692500.0,796920
Vec benches,BytesMut,,24673900.0,830125
Vec benches,BytesMut,,25661900.0,863330
Vec benches,BytesMut,,26658600.0,896535
Vec benches,BytesMut,,27638900.0,929740
Vec benches,BytesMut,,28627600.0,962945
Vec benches,BytesMut,,29610200.0,996150
Vec benches,BytesMut,,30618400.0,1029355
Vec benches,BytesMut,,31593900.0,1062560
Vec benches,BytesMut,,32633500.0,1095765
Vec benches,BytesMut,,33558700.0,1128970
Vec benches,BytesMut,,34550200.0,1162175
Vec benches,BytesMut,,35582900.0,1195380
Vec benches,BytesMut,,36525400.0,1228585
Vec benches,BytesMut,,37514100.0,1261790
Vec benches,BytesMut,,38501400.0,1294995
Vec benches,BytesMut,,39499800.0,1328200
Vec benches,BytesMut,,40456500.0,1361405
Vec benches,BytesMut,,41483500.0,1394610
Vec benches,BytesMut,,42448200.0,1427815
Vec benches,BytesMut,,43458900.0,1461020
Vec benches,BytesMut,,44432100.0,1494225
Vec benches,BytesMut,,45409900.0,1527430
Vec benches,BytesMut,,46433000.0,1560635
Vec benches,BytesMut,,47386200.0,1593840
Vec benches,BytesMut,,48350300.0,1627045
Vec benches,BytesMut,,49347700.0,1660250
Vec benches,BytesMut,,50388300.0,1693455
Vec benches,BytesMut,,51340000.0,1726660
Vec benches,BytesMut,,52341000.0,1759865
Vec benches,BytesMut,,53300400.0,1793070
Vec benches,BytesMut,,54454800.0,1826275
Vec benches,BytesMut,,55325700.0,1859480
Vec benches,BytesMut,,56274300.0,1892685
Vec benches,BytesMut,,57338200.0,1925890
Vec benches,BytesMut,,58226800.0,1959095
Vec benches,BytesMut,,59252100.0,1992300
Vec benches,BytesMut,,60216100.0,2025505
Vec benches,BytesMut,,61205100.0,2058710
Vec benches,BytesMut,,62223000.0,2091915
Vec benches,BytesMut,,63202700.0,2125120
Vec benches,BytesMut,,64203400.0,2158325
Vec benches,BytesMut,,65160400.0,2191530
Vec benches,BytesMut,,66166200.0,2224735
Vec benches,BytesMut,,67120600.0,2257940
Vec benches,BytesMut,,68130800.0,2291145
Vec benches,BytesMut,,69116800.0,2324350
Vec benches,BytesMut,,70110700.0,2357555
Vec benches,BytesMut,,71135100.0,2390760
Vec benches,BytesMut,,72134300.0,2423965
Vec benches,BytesMut,,73054800.0,2457170
Vec benches,BytesMut,,74050100.0,2490375
Vec benches,BytesMut,,75006500.0,2523580
Vec benches,BytesMut,,76033200.0,2556785
Vec benches,BytesMut,,77021900.0,2589990
Vec benches,BytesMut,,77997400.0,2623195
Vec benches,BytesMut,,79159500.0,2656400
Vec benches,BytesMut,,79974800.0,2689605
Vec benches,BytesMut,,80927800.0,2722810
Vec benches,BytesMut,,81924200.0,2756015
Vec benches,BytesMut,,82922200.0,2789220
Vec benches,BytesMut,,83946800.0,2822425
Vec benches,BytesMut,,85069000.0,2855630
Vec benches,BytesMut,,85917000.0,2888835
Vec benches,BytesMut,,86893300.0,2922040
Vec benches,BytesMut,,87865500.0,2955245
Vec benches,BytesMut,,88880200.0,2988450
Vec benches,BytesMut,,89837900.0,3021655
Vec benches,BytesMut,,90812100.0,3054860
Vec benches,BytesMut,,91815600.0,3088065
Vec benches,BytesMut,,92808400.0,3121270
Vec benches,BytesMut,,93778400.0,3154475
Vec benches,BytesMut,,94782400.0,3187680
Vec benches,BytesMut,,95876400.0,3220885
Vec benches,BytesMut,,96769300.0,3254090
Vec benches,BytesMut,,97745400.0,3287295
Vec benches,BytesMut,,98759400.0,3320500
