group,function,value,sample_time_nanos,iteration_count
Vec benches,BytesMut,,993200.0,33164
Vec benches,BytesMut,,1977600.0,66328
Vec benches,BytesMut,,2971700.0,99492
Vec benches,BytesMut,,3955600.0,132656
Vec benches,BytesMut,,4954700.0,165820
Vec benches,BytesMut,,5938900.0,198984
Vec benches,BytesMut,,6931800.0,232148
Vec benches,BytesMut,,7927600.0,265312
Vec benches,BytesMut,,8905500.0,298476
Vec benches,BytesMut,,9935200.0,331640
Vec benches,BytesMut,,10888200.0,364804
Vec benches,BytesMut,,11885900.0,397968
Vec benches,BytesMut,,12873900.0,431132
Vec benches,BytesMut,,13868900.0,464296
Vec benches,BytesMut,,14850200.0,497460
Vec benches,BytesMut,,15851100.0,530624
Vec benches,BytesMut,,16837800.0,563788
Vec benches,BytesMut,,17810500.0,596952
Vec benches,BytesMut,,18812200.0,630116
Vec benches,BytesMut,,19808600.0,663280
Vec benches,BytesMut,,20781200.0,696444
Vec benches,BytesMut,,21762000.0,729608
Vec benches,BytesMut,,22770400.0,762772
Vec benches,BytesMut,,23780200.0,795936
Vec benches,BytesMut,,24808800.0,829100
Vec benches,BytesMut,,25745500.0,862264
Vec benches,BytesMut,,26715400.0,895428
Vec benches,BytesMut,,27740900.0,928592
Vec benches,BytesMut,,28715700.0,961756
Vec benches,BytesMut,,29679400.0,994920
Vec benches,BytesMut,,30690600.0,1028084
Vec benches,BytesMut,,31696700.0,1061248
Vec benches,BytesMut,,32671000.0,1094412
Vec benches,BytesMut,,33642000.0,1127576
Vec benches,BytesMut,,34615500.0,1160740
Vec benches,BytesMut,,35676100.0,1193904
Vec benches,BytesMut,,36632700.0,1227068
Vec benches,BytesMut,,37623500.0,1260232
Vec benches,BytesMut,,38600300.0,1293396
Vec benches,BytesMut,,39602000.0,1326560
Vec benches,BytesMut,,40582700.0,1359724
Vec benches,BytesMut,,41580500.0,1392888
Vec benches,BytesMut,,42578900.0,1426052
Vec benches,BytesMut,,43572600.0,1459216
Vec benches,BytesMut,,44726700.0,1492380
Vec benches,BytesMut,,45538500.0,1525544
Vec benches,BytesMut,,46538100.0,1558708
Vec benches,BytesMut,,47510100.0,1591872
Vec benches,BytesMut,,48529400.0,1625036
Vec benches,BytesMut,,49481900.0,1658200
Vec benches,BytesMut,,50528500.0,1691364
Vec benches,BytesMut,,51595400.0,1724528
Vec benches,BytesMut,,52481500.0,1757692
Vec benches,BytesMut,,53479500.0,1790856
Vec benches,BytesMut,,54467100.0,1824020
Vec benches,BytesMut,,55470800.0,1857184
Vec benches,BytesMut,,56424500.0,1890348
Vec benches,BytesMut,,57452000.0,1923512
Vec benches,BytesMut,,58415400.0,1956676
Vec benches,BytesMut,,59420800.0,1989840
Vec benches,BytesMut,,60408700.0,2023004
Vec benches,BytesMut,,61356300.0,2056168
Vec benches,BytesMut,,62364300.0,2089332
Vec benches,BytesMut,,63354200.0,2122496
Vec benches,BytesMut,,64402600.0,2155660
Vec benches,BytesMut,,65334800.0,2188824
Vec benches,BytesMut,,66326600.0,2221988
Vec benches,BytesMut,,67335600.0,2255152
Vec benches,BytesMut,,68303400.0,2288316
Vec benches,BytesMut,,69309700.0,2321480
Vec benches,BytesMut,,70244800.0,2354644
Vec benches,BytesMut,,71304100.0,2387808
Vec benches,BytesMut,,72231500.0,2420972
Vec benches,BytesMut,,73255400.0,2454136
Vec benches,BytesMut,,74258800.0,2487300
Vec benches,BytesMut,,75221000.0,2520464
Vec benches,BytesMut,,76194800.0,2553628
Vec benches,BytesMut,,77235000.0,2586792
Vec benches,BytesMut,,78280600.0,2619956
Vec benches,BytesMut,,79370400.0,2653120
Vec benches,BytesMut,,80258200.0,2686284
Vec benches,BytesMut,,81324200.0,2719448
Vec benches,BytesMut,,82193800.0,2752612
Vec benches,BytesMut,,83206900.0,2785776
Vec benches,BytesMut,,84215400.0,2818940
Vec benches,BytesMut,,85233500.0,2852104
Vec benches,BytesMut,,86203400.0,2885268
Vec benches,BytesMut,,87177800.0,2918432
Vec benches,BytesMut,,88174100.0,2951596
Vec benches,BytesMut,,89172000.0,2984760
Vec benches,BytesMut,,90191900.0,3017924
Vec benches,BytesMut,,91164500.0,3051088
Vec benches,BytesMut,,92147400.0,3084252
Vec benches,BytesMut,,93106200.0,3117416
Vec benches,BytesMut,,94111700.0,3150580
Vec benches,BytesMut,,95094000.0,3183744
Vec benches,BytesMut,,96100400.0,3216908
Vec benches,BytesMut,,97069200.0,3250072
Vec benches,BytesMut,,98074300.0,3283236
Vec benches,BytesMut,,99090600.0,3316400
