group,function,value,sample_time_nanos,iteration_count
Vec benches,std vec,120,990400.0,21135
Vec benches,std vec,120,1979800.0,42270
Vec benches,std vec,120,2970800.0,63405
Vec benches,std vec,120,3958800.0,84540
Vec benches,std vec,120,4951700.0,105675
Vec benches,std vec,120,5939300.0,126810
Vec benches,std vec,120,6934000.0,147945
Vec benches,std vec,120,7922000.0,169080
Vec benches,std vec,120,8907000.0,190215
Vec benches,std vec,120,9902300.0,211350
Vec benches,std vec,120,10887800.0,232485
Vec benches,std vec,120,11881000.0,253620
Vec benches,std vec,120,12874000.0,274755
Vec benches,std vec,120,13857100.0,295890
Vec benches,std vec,120,14847000.0,317025
Vec benches,std vec,120,15836800.0,338160
Vec benches,std vec,120,16824900.0,359295
Vec benches,std vec,120,17817200.0,380430
Vec benches,std vec,120,18806800.0,401565
Vec benches,std vec,120,19793400.0,422700
Vec benches,std vec,120,20784300.0,443835
Vec benches,std vec,120,21784400.0,464970
Vec benches,std vec,120,22766100.0,486105
Vec benches,std vec,120,23757700.0,507240
Vec benches,std vec,120,24745600.0,528375
Vec benches,std vec,120,25734300.0,549510
Vec benches,std vec,120,26725000.0,570645
Vec benches,std vec,120,27745000.0,591780
Vec benches,std vec,120,28808400.0,612915
Vec benches,std vec,120,29695400.0,634050
Vec benches,std vec,120,30733700.0,655185
Vec benches,std vec,120,31684900.0,676320
Vec benches,std vec,120,32725600.0,697455
Vec benches,std vec,120,33746800.0,718590
Vec benches,std vec,120,34653000.0,739725
Vec benches,std vec,120,35633400.0,760860
Vec benches,std vec,120,36624900.0,781995
Vec benches,std vec,120,37611900.0,803130
Vec benches,std vec,120,38601900.0,824265
Vec benches,std vec,120,39592600.0,845400
Vec benches,std vec,120,40585600.0,866535
Vec benches,std vec,120,41613100.0,887670
Vec benches,std vec,120,42563300.0,908805
Vec benches,std vec,120,43554300.0,929940
Vec benches,std vec,120,44549500.0,951075
Vec benches,std vec,120,45543500.0,972210
Vec benches,std vec,120,46533900.0,993345
Vec benches,std vec,120,47513100.0,1014480
Vec benches,std vec,120,48500400.0,1035615
Vec benches,std vec,120,49484600.0,1056750
Vec benches,std vec,120,50481700.0,1077885
Vec benches,std vec,120,51471900.0,1099020
Vec benches,std vec,120,52461400.0,1120155
Vec benches,std vec,120,53447300.0,1141290
Vec benches,std vec,120,54440500.0,1162425
Vec benches,std vec,120,56283400.0,1183560
Vec benches,std vec,120,56423400.0,1204695
Vec benches,std vec,120,57416800.0,1225830
Vec benches,std vec,120,58399400.0,1246965
Vec benches,std vec,120,59385900.0,1268100
Vec benches,std vec,120,60495900.0,1289235
Vec benches,std vec,120,61385300.0,1310370
Vec benches,std vec,120,62377300.0,1331505
Vec benches,std vec,120,63356500.0,1352640
Vec benches,std vec,120,64350000.0,1373775
Vec benches,std vec,120,65325400.0,1394910
Vec benches,std vec,120,66316600.0,1416045
Vec benches,std vec,120,67308500.0,1437180
Vec benches,std vec,120,68296000.0,1458315
Vec benches,std vec,120,69294400.0,1479450
Vec benches,std vec,120,70276600.0,1500585
Vec benches,std vec,120,71598000.0,1521720
Vec benches,std vec,120,72272000.0,1542855
Vec benches,std vec,120,73239600.0,1563990
Vec benches,std vec,120,74231100.0,1585125
Vec benches,std vec,120,75261200.0,1606260
Vec benches,std vec,120,76212100.0,1627395
Vec benches,std vec,120,77209300.0,1648530
Vec benches,std vec,120,78264900.0,1669665
Vec benches,std vec,120,79201600.0,1690800
Vec benches,std vec,120,80183900.0,1711935
Vec benches,std vec,120,81161100.0,1733070
Vec benches,std vec,120,82161000.0,1754205
Vec benches,std vec,120,83152700.0,1775340
Vec benches,std vec,120,84310700.0,1796475
Vec benches,std vec,120,85145900.0,1817610
Vec benches,std vec,120,86119900.0,1838745
Vec benches,std vec,120,87102700.0,1859880
Vec benches,std vec,120,88122300.0,1881015
Vec benches,std vec,120,89102000.0,1902150
Vec benches,std vec,120,90101900.0,1923285
Vec benches,std vec,120,91073200.0,1944420
Vec benches,std vec,120,92048500.0,1965555
Vec benches,std vec,120,93044500.0,1986690
Vec benches,std vec,120,94027900.0,2007825
Vec benches,std vec,120,95104400.0,2028960
Vec benches,std vec,120,96104200.0,2050095
Vec benches,std vec,120,97000000.0,2071230
Vec benches,std vec,120,98007600.0,2092365
Vec benches,std vec,120,98983700.0,2113500
