group,function,value,sample_time_nanos,iteration_count
Vec benches,std vec,123,975300.0,20816
Vec benches,std vec,123,1949600.0,41632
Vec benches,std vec,123,2924300.0,62448
Vec benches,std vec,123,3900100.0,83264
Vec benches,std vec,123,4873500.0,104080
Vec benches,std vec,123,5848200.0,124896
Vec benches,std vec,123,6825100.0,145712
Vec benches,std vec,123,7798300.0,166528
Vec benches,std vec,123,8778000.0,187344
Vec benches,std vec,123,9750500.0,208160
Vec benches,std vec,123,10727300.0,228976
Vec benches,std vec,123,11698600.0,249792
Vec benches,std vec,123,12679600.0,270608
Vec benches,std vec,123,13648500.0,291424
Vec benches,std vec,123,14622700.0,312240
Vec benches,std vec,123,15596700.0,333056
Vec benches,std vec,123,16572900.0,353872
Vec benches,std vec,123,17550200.0,374688
Vec benches,std vec,123,18521800.0,395504
Vec benches,std vec,123,19501900.0,416320
Vec benches,std vec,123,20474100.0,437136
Vec benches,std vec,123,21447100.0,457952
Vec benches,std vec,123,22421500.0,478768
Vec benches,std vec,123,23395200.0,499584
Vec benches,std vec,123,24374000.0,520400
Vec benches,std vec,123,25344100.0,541216
Vec benches,std vec,123,26321600.0,562032
Vec benches,std vec,123,27293800.0,582848
Vec benches,std vec,123,28268800.0,603664
Vec benches,std vec,123,29244000.0,624480
Vec benches,std vec,123,30225800.0,645296
Vec benches,std vec,123,31318400.0,666112
Vec benches,std vec,123,33086200.0,686928
Vec benches,std vec,123,33176500.0,707744
Vec benches,std vec,123,34121600.0,728560
Vec benches,std vec,123,35293300.0,749376
Vec benches,std vec,123,36174700.0,770192
Vec benches,std vec,123,37180500.0,791008
Vec benches,std vec,123,38099300.0,811824
Vec benches,std vec,123,39095000.0,832640
Vec benches,std vec,123,40094200.0,853456
Vec benches,std vec,123,41038800.0,874272
Vec benches,std vec,123,42031600.0,895088
Vec benches,std vec,123,43006100.0,915904
Vec benches,std vec,123,44002000.0,936720
Vec benches,std vec,123,45146100.0,957536
Vec benches,std vec,123,45960900.0,978352
Vec benches,std vec,123,46915200.0,999168
Vec benches,std vec,123,47931500.0,1019984
Vec benches,std vec,123,48840400.0,1040800
Vec benches,std vec,123,49833700.0,1061616
Vec benches,std vec,123,50807800.0,1082432
Vec benches,std vec,123,51798900.0,1103248
Vec benches,std vec,123,52761600.0,1124064
Vec benches,std vec,123,53932900.0,1144880
Vec benches,std vec,123,54809800.0,1165696
Vec benches,std vec,123,55935300.0,1186512
Vec benches,std vec,123,56662500.0,1207328
Vec benches,std vec,123,57694800.0,1228144
Vec benches,std vec,123,58635300.0,1248960
Vec benches,std vec,123,59644700.0,1269776
Vec benches,std vec,123,60583800.0,1290592
Vec benches,std vec,123,61560100.0,1311408
Vec benches,std vec,123,62582300.0,1332224
Vec benches,std vec,123,63718800.0,1353040
Vec benches,std vec,123,64502400.0,1373856
Vec benches,std vec,123,65506300.0,1394672
Vec benches,std vec,123,66457200.0,1415488
Vec benches,std vec,123,67424100.0,1436304
Vec benches,std vec,123,68396600.0,1457120
Vec benches,std vec,123,69871800.0,1477936
Vec benches,std vec,123,70366100.0,1498752
Vec benches,std vec,123,71652100.0,1519568
Vec benches,std vec,123,72520500.0,1540384
Vec benches,std vec,123,73290500.0,1561200
Vec benches,std vec,123,74307400.0,1582016
Vec benches,std vec,123,75264900.0,1602832
Vec benches,std vec,123,76259500.0,1623648
Vec benches,std vec,123,77191100.0,1644464
Vec benches,std vec,123,78393400.0,1665280
Vec benches,std vec,123,79144300.0,1686096
Vec benches,std vec,123,80183600.0,1706912
Vec benches,std vec,123,81103800.0,1727728
Vec benches,std vec,123,82066500.0,1748544
Vec benches,std vec,123,83173500.0,1769360
Vec benches,std vec,123,84342900.0,1790176
Vec benches,std vec,123,85031500.0,1810992
Vec benches,std vec,123,86045000.0,1831808
Vec benches,std vec,123,86978100.0,1852624
Vec benches,std vec,123,87989500.0,1873440
Vec benches,std vec,123,88937900.0,1894256
Vec benches,std vec,123,90105100.0,1915072
Vec benches,std vec,123,90871500.0,1935888
Vec benches,std vec,123,91882800.0,1956704
Vec benches,std vec,123,92818600.0,1977520
Vec benches,std vec,123,93897400.0,1998336
Vec benches,std vec,123,94858400.0,2019152
Vec benches,std vec,123,96011500.0,2039968
Vec benches,std vec,123,96790800.0,2060784
Vec benches,std vec,123,97732900.0,2081600
