group,function,value,sample_time_nanos,iteration_count
Vec benches,std vec,,996000.0,13658
Vec benches,std vec,,1974600.0,27316
Vec benches,std vec,,2956100.0,40974
Vec benches,std vec,,3969900.0,54632
Vec benches,std vec,,4953100.0,68290
Vec benches,std vec,,5935700.0,81948
Vec benches,std vec,,6920100.0,95606
Vec benches,std vec,,7897700.0,109264
Vec benches,std vec,,8910100.0,122922
Vec benches,std vec,,9869900.0,136580
Vec benches,std vec,,10911500.0,150238
Vec benches,std vec,,11900200.0,163896
Vec benches,std vec,,12878000.0,177554
Vec benches,std vec,,13844000.0,191212
Vec benches,std vec,,14863800.0,204870
Vec benches,std vec,,15861700.0,218528
Vec benches,std vec,,16846000.0,232186
Vec benches,std vec,,17812900.0,245844
Vec benches,std vec,,18797100.0,259502
Vec benches,std vec,,19813000.0,273160
Vec benches,std vec,,20809100.0,286818
Vec benches,std vec,,21800700.0,300476
Vec benches,std vec,,22755600.0,314134
Vec benches,std vec,,23705600.0,327792
Vec benches,std vec,,24752200.0,341450
Vec benches,std vec,,25730900.0,355108
Vec benches,std vec,,26677300.0,368766
Vec benches,std vec,,27739700.0,382424
Vec benches,std vec,,28690800.0,396082
Vec benches,std vec,,29676800.0,409740
Vec benches,std vec,,30728000.0,423398
Vec benches,std vec,,31694800.0,437056
Vec benches,std vec,,32659700.0,450714
Vec benches,std vec,,33710600.0,464372
Vec benches,std vec,,34640500.0,478030
Vec benches,std vec,,35637800.0,491688
Vec benches,std vec,,36700900.0,505346
Vec benches,std vec,,37601900.0,519004
Vec benches,std vec,,38597600.0,532662
Vec benches,std vec,,39549200.0,546320
Vec benches,std vec,,40563100.0,559978
Vec benches,std vec,,41571700.0,573636
Vec benches,std vec,,42606800.0,587294
Vec benches,std vec,,43486300.0,600952
Vec benches,std vec,,44545600.0,614610
Vec benches,std vec,,45533200.0,628268
Vec benches,std vec,,46494500.0,641926
Vec benches,std vec,,47510000.0,655584
Vec benches,std vec,,48474700.0,669242
Vec benches,std vec,,49539300.0,682900
Vec benches,std vec,,50500400.0,696558
Vec benches,std vec,,51387400.0,710216
Vec benches,std vec,,52477100.0,723874
Vec benches,std vec,,53448100.0,737532
Vec benches,std vec,,54420600.0,751190
Vec benches,std vec,,55421400.0,764848
Vec benches,std vec,,56468800.0,778506
Vec benches,std vec,,57482000.0,792164
Vec benches,std vec,,58435900.0,805822
Vec benches,std vec,,59434300.0,819480
Vec benches,std vec,,60379700.0,833138
Vec benches,std vec,,61328500.0,846796
Vec benches,std vec,,62314500.0,860454
Vec benches,std vec,,63354300.0,874112
Vec benches,std vec,,64317600.0,887770
Vec benches,std vec,,65310300.0,901428
Vec benches,std vec,,66307200.0,915086
Vec benches,std vec,,67345900.0,928744
Vec benches,std vec,,68261100.0,942402
Vec benches,std vec,,69364600.0,956060
Vec benches,std vec,,70229800.0,969718
Vec benches,std vec,,71338200.0,983376
Vec benches,std vec,,72307900.0,997034
Vec benches,std vec,,73359500.0,1010692
Vec benches,std vec,,74206700.0,1024350
Vec benches,std vec,,75231800.0,1038008
Vec benches,std vec,,76281400.0,1051666
Vec benches,std vec,,77218300.0,1065324
Vec benches,std vec,,78127200.0,1078982
Vec benches,std vec,,79198900.0,1092640
Vec benches,std vec,,80193500.0,1106298
Vec benches,std vec,,81168700.0,1119956
Vec benches,std vec,,82033800.0,1133614
Vec benches,std vec,,83128900.0,1147272
Vec benches,std vec,,84179100.0,1160930
Vec benches,std vec,,85170100.0,1174588
Vec benches,std vec,,86142700.0,1188246
Vec benches,std vec,,87183500.0,1201904
Vec benches,std vec,,88125800.0,1215562
Vec benches,std vec,,89159800.0,1229220
Vec benches,std vec,,90053800.0,1242878
Vec benches,std vec,,91123300.0,1256536
Vec benches,std vec,,91972700.0,1270194
Vec benches,std vec,,93024000.0,1283852
Vec benches,std vec,,94014800.0,1297510
Vec benches,std vec,,95034600.0,1311168
Vec benches,std vec,,96131000.0,1324826
Vec benches,std vec,,97003500.0,1338484
Vec benches,std vec,,97997800.0,1352142
Vec benches,std vec,,98956500.0,1365800
