group,function,value,sample_time_nanos,iteration_count
Vec benches,std vec,,991500.0,13330
Vec benches,std vec,,1994200.0,26660
Vec benches,std vec,,2971800.0,39990
Vec benches,std vec,,3975500.0,53320
Vec benches,std vec,,4935200.0,66650
Vec benches,std vec,,5917100.0,79980
Vec benches,std vec,,6880300.0,93310
Vec benches,std vec,,7881900.0,106640
Vec benches,std vec,,8943800.0,119970
Vec benches,std vec,,9954900.0,133300
Vec benches,std vec,,10914800.0,146630
Vec benches,std vec,,11795300.0,159960
Vec benches,std vec,,12883800.0,173290
Vec benches,std vec,,13868500.0,186620
Vec benches,std vec,,15177500.0,199950
Vec benches,std vec,,15840500.0,213280
Vec benches,std vec,,16820200.0,226610
Vec benches,std vec,,17790100.0,239940
Vec benches,std vec,,19338400.0,253270
Vec benches,std vec,,19840000.0,266600
Vec benches,std vec,,20758600.0,279930
Vec benches,std vec,,21728900.0,293260
Vec benches,std vec,,22691100.0,306590
Vec benches,std vec,,23675100.0,319920
Vec benches,std vec,,24647900.0,333250
Vec benches,std vec,,25822400.0,346580
Vec benches,std vec,,26529800.0,359910
Vec benches,std vec,,27753000.0,373240
Vec benches,std vec,,28593200.0,386570
Vec benches,std vec,,29737200.0,399900
Vec benches,std vec,,30685200.0,413230
Vec benches,std vec,,31763700.0,426560
Vec benches,std vec,,32663900.0,439890
Vec benches,std vec,,33609100.0,453220
Vec benches,std vec,,34625100.0,466550
Vec benches,std vec,,35531800.0,479880
Vec benches,std vec,,36592500.0,493210
Vec benches,std vec,,37690800.0,506540
Vec benches,std vec,,38452300.0,519870
Vec benches,std vec,,39661300.0,533200
Vec benches,std vec,,40525000.0,546530
Vec benches,std vec,,41519700.0,559860
Vec benches,std vec,,42565200.0,573190
Vec benches,std vec,,43478800.0,586520
Vec benches,std vec,,44514900.0,599850
Vec benches,std vec,,45564900.0,613180
Vec benches,std vec,,46629000.0,626510
Vec benches,std vec,,47474000.0,639840
Vec benches,std vec,,48270100.0,653170
Vec benches,std vec,,49270000.0,666500
Vec benches,std vec,,50613200.0,679830
Vec benches,std vec,,51369900.0,693160
Vec benches,std vec,,52242500.0,706490
Vec benches,std vec,,53287100.0,719820
Vec benches,std vec,,54254400.0,733150
Vec benches,std vec,,55518400.0,746480
Vec benches,std vec,,56397000.0,759810
Vec benches,std vec,,57432700.0,773140
Vec benches,std vec,,58271300.0,786470
Vec benches,std vec,,59259800.0,799800
Vec benches,std vec,,60218100.0,813130
Vec benches,std vec,,61362400.0,826460
Vec benches,std vec,,62240000.0,839790
Vec benches,std vec,,63274800.0,853120
Vec benches,std vec,,64227200.0,866450
Vec benches,std vec,,65303500.0,879780
Vec benches,std vec,,66195100.0,893110
Vec benches,std vec,,67416500.0,906440
Vec benches,std vec,,68179900.0,919770
Vec benches,std vec,,69191500.0,933100
Vec benches,std vec,,70213900.0,946430
Vec benches,std vec,,71272300.0,959760
Vec benches,std vec,,72215900.0,973090
Vec benches,std vec,,73238700.0,986420
Vec benches,std vec,,74241100.0,999750
Vec benches,std vec,,75260600.0,1013080
Vec benches,std vec,,76243300.0,1026410
Vec benches,std vec,,77144800.0,1039740
Vec benches,std vec,,78074700.0,1053070
Vec benches,std vec,,79197200.0,1066400
Vec benches,std vec,,80083800.0,1079730
Vec benches,std vec,,81182000.0,1093060
Vec benches,std vec,,82115000.0,1106390
Vec benches,std vec,,83303900.0,1119720
Vec benches,std vec,,84172600.0,1133050
Vec benches,std vec,,85049000.0,1146380
Vec benches,std vec,,85986100.0,1159710
Vec benches,std vec,,87116700.0,1173040
Vec benches,std vec,,88088800.0,1186370
Vec benches,std vec,,88863800.0,1199700
Vec benches,std vec,,89983200.0,1213030
Vec benches,std vec,,90982900.0,1226360
Vec benches,std vec,,92055600.0,1239690
Vec benches,std vec,,92781500.0,1253020
Vec benches,std vec,,94001400.0,1266350
Vec benches,std vec,,94822600.0,1279680
Vec benches,std vec,,95870000.0,1293010
Vec benches,std vec,,96743500.0,1306340
Vec benches,std vec,,97885800.0,1319670
Vec benches,std vec,,99047500.0,1333000
